Species,Longitude,Latitude
NL,76.01765556,11.93508611
NL,75.98573333,11.91914722
NL,75.88705556,11.99352778
NL,75.87397222,11.97366667
NL,75.88436111,11.99266667
NL,75.8178,12.05205556
NL,75.80159167,12.05233889
NL,75.80201389,12.03529444
NL,75.95022778,11.96929722
NL,75.95042778,11.96865
NL,75.98340278,11.83413333
NL,75.95197778,11.93421944
NL,75.93545278,11.93468889
NL,75.93495833,11.93468333
NL,75.95028333,11.93451389
NL,75.93371389,11.93421111
NL,75.95009444,11.95148333
NL,75.93436111,11.95141944
